scenario,phi_deg,target_fill_factor,relative_to_ideal_swarm_same_eta,equivalent_ideal_ring_half_angle_deg,feasible,minimum_power_w,reflector_area_m2,reflector_side_m,pv_area_m2,structure_mass_kg,structure_areal_density_g_m2,system_areal_density_g_m2,sigma_limit_g_m2,margin_g_m2
perimeter_nominal,0.75,0.5,0.5,29.999999999999996,True,96764.15829894712,518.9623253562329,22.780744618125038,259.48116267811645,6.546929068556501,12.61542263990449,45.015422639904486,45.015422639904486,0.0
cross_light,1.0,0.01,0.01,0.5729673448571527,True,231.37637362570038,62.045504761339174,7.876896899245233,0.6204550476133918,1.750571533650475,28.21431690150845,33.762316901508456,33.76231690150845,-7.105427357601002e-15
cross_nominal,1.0,0.01,0.01,0.5729673448571527,True,355.76497316582646,95.40134539487025,9.767361229875254,0.9540134539487025,2.691683791801133,28.21431690150845,33.76231690150845,33.76231690150845,0.0
perimeter_nominal,1.0,0.01,0.01,0.5729673448571527,True,507.67344711854975,136.13686992672564,11.667770563682062,1.3613686992672565,3.8410087900920726,28.21431690150845,33.762316901508456,33.76231690150845,-7.105427357601002e-15
cross_light,1.0,0.05,0.05,2.8659839825988622,True,1312.8123315772284,70.40831567477908,8.390966313529036,3.520415783738954,1.8321875029905457,26.022316901508447,33.76231690150845,33.76231690150845,0.0
cross_nominal,1.0,0.05,0.05,2.8659839825988622,True,2002.6737352577825,107.40673373795471,10.363722002155148,5.370336686897736,2.7949720626849968,26.02231690150845,33.76231690150845,33.76231690150845,0.0
perimeter_nominal,1.0,0.05,0.05,2.8659839825988622,True,2887.778066714022,154.8763557664245,12.444932935392801,7.743817788321225,4.030241610304664,26.02231690150845,33.76231690150845,33.76231690150845,0.0
cross_light,1.0,0.1,0.1,5.739170477266787,True,3130.911412723143,83.95800138163604,9.162859890974872,8.395800138163604,1.9547367945845344,23.282316901508448,33.76231690150845,33.76231690150845,0.0
cross_nominal,1.0,0.1,0.1,5.739170477266787,True,4724.011565010975,126.67831095134464,11.255145976456486,12.667831095134465,2.949364580117034,23.282316901508448,33.76231690150845,33.76231690150845,0.0
perimeter_nominal,1.0,0.1,0.1,5.739170477266787,True,6910.928989400461,185.32232604301421,13.61331429311078,18.532232604301424,4.3147331238581295,23.282316901508448,33.76231690150845,33.76231690150845,0.0
cross_light,1.0,0.25,0.25,14.477512185929925,True,15946.831597972214,171.05103694655833,13.078648131460618,42.76275923663958,2.576424924820692,15.062316901508451,33.76231690150845,33.76231690150845,0.0
cross_nominal,1.0,0.25,0.25,14.477512185929925,True,23043.269573791993,247.16979865375924,15.721634732233134,61.79244966343981,3.7229498358049584,15.062316901508451,33.762316901508456,33.76231690150845,-7.105427357601002e-15
perimeter_nominal,1.0,0.25,0.25,14.477512185929925,True,35668.178833407954,382.5887881217434,19.559876996590326,95.64719703043585,5.762673569653771,15.06231690150845,33.76231690150845,33.76231690150845,0.0
cross_light,1.0,0.5,0.5,29.999999999999996,True,2667493.5710239657,14306.213073384028,119.60858277474918,7153.106536692014,19.489595866452255,1.3623169015084533,33.762316901508456,33.76231690150845,-7.105427357601002e-15
cross_nominal,1.0,0.5,0.5,29.999999999999996,True,3281770.4717612127,17600.682579689754,132.66756415827402,8800.341289844877,23.977707356396756,1.3623169015084533,33.762316901508456,33.76231690150845,-7.105427357601002e-15
perimeter_nominal,1.0,0.5,0.5,29.999999999999996,True,6227235.864767747,33397.70491195153,182.75038963556693,16698.852455975764,45.49825787314346,1.3623169015084533,33.76231690150845,33.76231690150845,0.0
cross_light,1.25,0.01,0.01,0.5729673448571527,True,356.6446393114433,95.63723521011367,9.779429186313159,0.9563723521011367,2.0526261054560373,21.462624896531633,27.010624896531635,27.010624896531635,0.0
cross_nominal,1.25,0.01,0.01,0.5729673448571527,True,533.7880141750207,143.13970893423704,11.964100841025916,1.4313970893423704,3.072153880654247,21.462624896531633,27.01062489653163,27.010624896531635,3.552713678800501e-15
perimeter_nominal,1.25,0.01,0.01,0.5729673448571527,True,789.2168668533712,211.63508660264057,14.547683203955211,2.116350866026406,4.542244478697462,21.462624896531633,27.010624896531635,27.010624896531635,0.0
cross_light,1.25,0.05,0.05,2.8659839825988622,True,2122.914861159818,113.85546593369075,10.670307677555074,5.692773296684538,2.19406597642799,19.270624896531633,27.010624896531635,27.010624896531635,0.0
cross_nominal,1.25,0.05,0.05,2.8659839825988622,True,3143.481010605621,168.5901312691731,12.984226248382038,8.429506563458656,3.248837180945263,19.270624896531633,27.010624896531628,27.010624896531635,7.105427357601002e-15
perimeter_nominal,1.25,0.05,0.05,2.8659839825988622,True,4713.363640371722,252.7855559389951,15.899231300254584,12.639277796949756,4.871335627761589,19.270624896531633,27.010624896531635,27.010624896531635,0.0
cross_light,1.25,0.1,0.1,5.739170477266787,True,5462.831696000758,146.49038909777474,12.103321407687012,14.649038909777474,2.4215776731222816,16.530624896531634,27.010624896531635,27.010624896531635,0.0
cross_nominal,1.25,0.1,0.1,5.739170477266787,True,7966.682033090843,213.63322463331605,14.61619733834064,21.363322463331606,3.5314907018498296,16.530624896531634,27.010624896531635,27.010624896531635,0.0
perimeter_nominal,1.25,0.1,0.1,5.739170477266787,True,12185.098564934257,326.75358299592546,18.07632659020979,32.675358299592546,5.401440914103361,16.530624896531634,27.010624896531635,27.010624896531635,0.0
cross_light,1.25,0.25,0.25,14.477512185929925,True,44535.78569493578,477.7056983104499,21.856479549791406,119.42642457761248,3.9700328695938554,8.310624896531635,27.01062489653163,27.010624896531635,3.552713678800501e-15
cross_nominal,1.25,0.25,0.25,14.477512185929925,True,60859.848512980585,652.8030432001005,25.550010630136743,163.20076080002514,5.425201223350373,8.310624896531635,27.010624896531635,27.010624896531635,0.0
perimeter_nominal,1.25,0.25,0.25,14.477512185929925,True,101222.35757929205,1085.7447838299665,32.95064163001938,271.43619595749163,9.02321763177668,8.310624896531635,27.01062489653164,27.010624896531635,-3.552713678800501e-15
cross_light,1.25,0.5,0.5,29.999999999999996,False,,,,,,,,,
cross_nominal,1.25,0.5,0.5,29.999999999999996,False,,,,,,,,,
perimeter_nominal,1.25,0.5,0.5,29.999999999999996,False,,,,,,,,,
cross_light,1.5,0.01,0.01,0.5729673448571527,True,523.4964955246221,140.37995235486522,11.848204604701305,1.4037995235486522,2.3810741835310427,16.961639775400027,22.509639775400025,22.50963977540003,3.552713678800501e-15
cross_nominal,1.5,0.01,0.01,0.5729673448571527,True,765.3881181267698,205.24520884889537,14.326381568592097,2.0524520884889537,3.4812952981217093,16.961639775400027,22.509639775400025,22.50963977540003,3.552713678800501e-15
perimeter_nominal,1.5,0.01,0.01,0.5729673448571527,True,1166.7842450308376,312.8829287800505,17.688497075219548,3.1288292878005053,5.307007529839359,16.961639775400027,22.50963977540003,22.50963977540003,0.0
cross_light,1.5,0.05,0.05,2.8659839825988622,True,3296.0473608164666,176.77251917688616,13.295582694146434,8.83862595884431,2.610866430432602,14.769639775400028,22.50963977540003,22.50963977540003,0.0
cross_nominal,1.5,0.05,0.05,2.8659839825988622,True,4753.628431011869,254.94502383991315,15.966997959538704,12.747251191995659,3.76544616464629,14.769639775400028,22.50963977540003,22.50963977540003,0.0
perimeter_nominal,1.5,0.05,0.05,2.8659839825988622,True,7376.4810735021365,395.6129870963351,19.890022300046198,19.780649354816756,5.843061309882849,14.769639775400028,22.50963977540003,22.50963977540003,0.0
cross_light,1.5,0.1,0.1,5.739170477266787,True,9338.152901004692,250.41036005633183,15.824359704466143,25.041036005633185,3.012346427505892,12.029639775400028,22.50963977540003,22.50963977540003,0.0
cross_nominal,1.5,0.1,0.1,5.739170477266787,True,13202.167006612897,354.02712171205417,18.815608459788223,35.402712171205415,4.258818744917714,12.029639775400028,22.50963977540003,22.50963977540003,0.0
perimeter_nominal,1.5,0.1,0.1,5.739170477266787,True,21020.992152295497,563.6954405652642,23.742271175379667,56.36954405652642,6.7810530930355455,12.029639775400028,22.50963977540003,22.50963977540003,0.0
cross_light,1.5,0.25,0.25,14.477512185929925,True,185580.1906720945,1990.5950505703133,44.61608511030874,497.64876264257833,7.5834500813671015,3.8096397754000306,22.50963977540003,22.50963977540003,0.0
