scenario,phi_deg,power_required_w,feasible,reflector_area_m2,reflector_side_m,pv_area_m2,pv_fill_factor,structure_mass_kg,structure_areal_density_g_m2,system_areal_density_g_m2,sigma_limit_g_m2,margin_g_m2,relative_to_ideal_swarm_same_eta
perimeter_heavy,1.0,100.0,True,344.5959042638304,18.56329454229045,0.26815834213786555,0.0007781820353052063,9.896681524249,28.719672525973724,33.76231690150844,33.76231690150845,7.105427357601002e-15,0.0007781820353052063
cross_light,1.0,1000.0,True,68.01665733119788,8.247221188448743,2.6815834213786554,0.039425392640526996,1.8093658812496711,26.60180538480757,33.76231690150845,33.76231690150845,0.0,0.039425392640526996
cross_nominal,1.0,1000.0,True,100.13406173321742,10.006700841596965,2.6815834213786554,0.026779932572026037,2.7331368447144597,27.294776596561423,33.76231690150845,33.76231690150845,0.0,0.026779932572026037
perimeter_nominal,1.0,1000.0,True,140.06834424698098,11.835047285371571,2.6815834213786554,0.019144821307020297,3.8817393336096946,27.71318069388374,33.76231690150845,33.76231690150845,0.0,0.019144821307020297
perimeter_heavy,1.0,1000.0,True,350.6938649150193,18.726822071964566,2.6815834213786554,0.007646507936568726,9.93981730660903,28.343288266584484,33.76231690150845,33.76231690150845,0.0,0.007646507936568726
cross_light,1.0,10000.0,True,131.8602830054647,11.483043281528843,26.81583421378655,0.20336551388013643,2.3230995316102616,17.617886740876973,33.76231690150845,33.76231690150845,0.0,0.20336551388013643
cross_nominal,1.0,10000.0,True,162.6582307292182,12.75375359371578,26.81583421378655,0.16485998952261838,3.2089198639569503,19.727989475668963,33.76231690150845,33.76231690150845,0.0,0.16485998952261838
perimeter_nominal,1.0,10000.0,True,207.93294137631716,14.419880074963077,26.81583421378655,0.12896385746429298,4.511125439212909,21.695097512465193,33.76231690150845,33.76231690150845,0.0,0.12896385746429298
perimeter_heavy,1.0,10000.0,True,410.81595051554024,20.268595178638805,26.81583421378655,0.06527456925695042,10.346510842006879,25.185270506227567,33.76231690150845,33.76231690150845,0.0,0.06527456925695042
cross_light,1.5,100.0,True,134.5849426309794,11.60107506358697,0.26815834213786555,0.0019924839799734,2.3418387875121733,17.400451653297488,22.509639775400032,22.50963977540003,-3.552713678800501e-15,0.0019924839799734
cross_nominal,1.5,100.0,True,196.66839811828658,14.023851044498675,0.26815834213786555,0.0013635049896353008,3.4288977291070037,17.434919701968013,22.50963977540003,22.50963977540003,0.0,0.0013635049896353008
perimeter_nominal,1.5,100.0,True,298.01396657713207,17.263081027937396,0.26815834213786555,0.0008998180361069109,5.203422125654532,17.46032974702137,22.50963977540003,22.50963977540003,0.0,0.0008998180361069109
perimeter_heavy,1.5,100.0,True,678.9364614583753,26.05640922035067,0.26815834213786555,0.0003949682442475598,11.87323779337176,17.48799551561526,22.50963977540003,22.50963977540003,0.0,0.0003949682442475598
cross_light,1.5,1000.0,True,146.81304105031785,12.116643142814674,2.6815834213786554,0.018265294432935186,2.4236926916305324,16.50870164047518,22.509639775400025,22.50963977540003,3.552713678800501e-15,0.018265294432935186
cross_nominal,1.5,1000.0,True,208.246583537995,14.43075131578377,2.6815834213786554,0.01287696237710135,3.499371890716492,16.803982237134875,22.509639775400032,22.50963977540003,-3.552713678800501e-15,0.01287696237710135
perimeter_nominal,1.5,1000.0,True,310.5738270082481,17.623104919628894,2.6815834213786554,0.008634286563070361,5.291085063090279,17.036480871743773,22.509639775400032,22.50963977540003,-3.552713678800501e-15,0.008634286563070361
perimeter_heavy,1.5,1000.0,True,689.5445058608244,26.259179459016316,2.6815834213786554,0.0038889200023876315,11.9267251352377,17.296526959269187,22.50963977540003,22.50963977540003,0.0,0.0038889200023876315
cross_light,1.5,10000.0,True,258.17154203253915,16.067717387125626,26.81583421378655,0.1038682807666182,3.0509829863338047,11.81765798938935,22.50963977540003,22.50963977540003,0.0,0.1038682807666182
cross_nominal,1.5,10000.0,True,317.20938433624246,17.810372942087497,26.81583421378655,0.08453669890598736,4.0847143381885225,12.877028675351921,22.50963977540003,22.50963977540003,0.0,0.08453669890598736
perimeter_nominal,1.5,10000.0,True,429.09932046498665,20.714712657070255,26.81583421378655,0.06249330384566445,6.043866814295351,14.085006724657617,22.50963977540003,22.50963977540003,0.0,0.06249330384566445
perimeter_heavy,1.5,10000.0,True,793.9791554598133,28.17763573225783,26.81583421378655,0.03377397760304781,12.432781286362168,15.65882580275301,22.509639775400032,22.50963977540003,-3.552713678800501e-15,0.03377397760304781
